date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:01:10	0/0	---MC-	302	error ('Found')	text/html	date:Sat,%2029%20Oct%202022%2000:01:10%20GMT	https://www.friendlymailer.com/checkout	/home/glenxo/websites/friendlymailer.com/www.friendlymailer.com/checkout	(from https://www.friendlymailer.com/cart)
19:01:11	0/0	---MC-	302	error ('Found')	text/html	date:Sat,%2029%20Oct%202022%2000:01:11%20GMT	https://www.friendlymailer.com/checkouts/c/1c355cbd676b31770f2d5b51528de802	/home/glenxo/websites/friendlymailer.com/www.friendlymailer.com/checkouts/c/1c355cbd676b31770f2d5b51528de802	(from https://www.friendlymailer.com/cart)
19:01:13	19/19	---M--	404	error ('Not%20Found')	text/plain	date:Sat,%2029%20Oct%202022%2000:01:12%20GMT	https://monorail-edge.shopifysvc.com/robots.txt		(from https://www.friendlymailer.com/)
19:01:14	60797/60797	---MCZ	200	added ('OK')	application/atom+xml	etag:cacheable:66bdb9ade97f12803df97bba0597faa0	https://www.friendlymailer.com/collections/all.atom	/home/glenxo/websites/friendlymailer.com/www.friendlymailer.com/collections/all.atom	(from https://www.friendlymailer.com/collections/all)
19:01:15	33669/33669	---MCZ	200	added ('OK')	application/json+oembed	etag:cacheable:4b13dad8ec2234fa3f8a58016a44c5cb	https://www.friendlymailer.com/collections/all.oembed	/home/glenxo/websites/friendlymailer.com/www.friendlymailer.com/collections/all.oembed	(from https://www.friendlymailer.com/collections/all)
19:01:15	127331/127331	---MCZ	404	error ('Not%20Found')	text/html	etag:cacheable:6ce8ce549a9763f869a9b8472f29c69a	https://www.friendlymailer.com/collections/POST	/home/glenxo/websites/friendlymailer.com/www.friendlymailer.com/collections/POST	(from https://www.friendlymailer.com/collections/all)
19:01:16	132/132	---MC-	302	error ('Found')	text/html	date:Sat,%2029%20Oct%202022%2000:01:16%20GMT	https://www.friendlymailer.com/account	/home/glenxo/websites/friendlymailer.com/www.friendlymailer.com/account	(from https://www.friendlymailer.com/collections/all)
19:01:17	132/132	---MC-	302	error ('Found')	text/html	date:Sat,%2029%20Oct%202022%2000:01:17%20GMT	https://www.friendlymailer.com/account	/home/glenxo/websites/friendlymailer.com/www.friendlymailer.com/account	(from https://www.friendlymailer.com/collections/all)
19:01:19	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2029%20Oct%202022%2000:01:19%20GMT	http://cdn.shopify.com/s/files/1/0272/4593/6745/products/Lying23_600x600.png?v=1644505857	/home/glenxo/websites/friendlymailer.com/cdn.shopify.com/s/files/1/0272/4593/6745/products/Lying23_600x600bfa1.png	(from https://www.friendlymailer.com/collections/all)
19:01:19	199628/199628	---MCZ	200	added ('OK')	text/html	etag:cacheable:b41a269bb43ebd62b7e25ed8d08f6110	https://www.friendlymailer.com/collections/all/products/plant-based-compostable-mailers	/home/glenxo/websites/friendlymailer.com/www.friendlymailer.com/collections/all/products/plant-based-compostable-mailers.html	(from https://www.friendlymailer.com/collections/all)
19:01:21	251720/251720	---M--	200	added ('OK')	image/png	date:Sat,%2029%20Oct%202022%2000:01:20%20GMT	https://cdn.shopify.com/s/files/1/0272/4593/6745/products/Lying23_600x600.png?v=1644505857	/home/glenxo/websites/friendlymailer.com/cdn.shopify.com/s/files/1/0272/4593/6745/products/Lying23_600x600bfa1.png	(from https://www.friendlymailer.com/collections/all)
19:01:23	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2029%20Oct%202022%2000:01:22%20GMT	http://cdn.shopify.com/s/files/1/0272/4593/6745/products/TopFront1_600x600.png?v=1616176779	/home/glenxo/websites/friendlymailer.com/cdn.shopify.com/s/files/1/0272/4593/6745/products/TopFront1_600x600d141.png	(from https://www.friendlymailer.com/collections/all)
19:01:23	202320/202320	---MCZ	200	added ('OK')	text/html	etag:cacheable:16db2de9473fe09648377be7475f4f47	https://www.friendlymailer.com/collections/all/products/bubble-biodegradable-mailers	/home/glenxo/websites/friendlymailer.com/www.friendlymailer.com/collections/all/products/bubble-biodegradable-mailers.html	(from https://www.friendlymailer.com/collections/all)
19:01:24	159038/159038	---M--	200	added ('OK')	image/png	date:Sat,%2029%20Oct%202022%2000:01:23%20GMT	https://cdn.shopify.com/s/files/1/0272/4593/6745/products/TopFront1_600x600.png?v=1616176779	/home/glenxo/websites/friendlymailer.com/cdn.shopify.com/s/files/1/0272/4593/6745/products/TopFront1_600x600d141.png	(from https://www.friendlymailer.com/collections/all)
19:01:26	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2029%20Oct%202022%2000:01:25%20GMT	http://cdn.shopify.com/s/files/1/0272/4593/6745/products/Lying21_600x600.png?v=1616177289	/home/glenxo/websites/friendlymailer.com/cdn.shopify.com/s/files/1/0272/4593/6745/products/Lying21_600x6002669.png	(from https://www.friendlymailer.com/collections/all)
19:01:26	199176/199176	---MCZ	200	added ('OK')	text/html	etag:cacheable:dd0b7202abb68dd8c30f49e33a9d916b	https://www.friendlymailer.com/collections/all/products/eco-friendly-biodegradable-mailers-blue	/home/glenxo/websites/friendlymailer.com/www.friendlymailer.com/collections/all/products/eco-friendly-biodegradable-mailers-blue.html	(from https://www.friendlymailer.com/collections/all)
19:01:27	138306/138306	---M--	200	added ('OK')	image/png	date:Fri,%2028%20Oct%202022%2014:53:50%20GMT	https://cdn.shopify.com/s/files/1/0272/4593/6745/products/Lying21_600x600.png?v=1616177289	/home/glenxo/websites/friendlymailer.com/cdn.shopify.com/s/files/1/0272/4593/6745/products/Lying21_600x6002669.png	(from https://www.friendlymailer.com/collections/all)
